STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CATEGORY
Andaman and Nicobar Islands,3248,3224,3529,12916,12955,12645,12723,12525,12450,12044,15723,17245,18727,20944,19904,20583,14762,17454,19522,20982,20843,22275,22673,23144,25657,26841,26766,21714,26480,20455,18622,NA,NA,VALUE ADDED AGRI
Andhra Pradesh,441689,451482,444405,1685975,1647965,1754606,1868969,1507276,1926900,1844877,3142534,3591174,3504346,3101304,3671502,3040086,2930256,3005220,3616888,3536393,3818759,3634745,4769366,4793197,5560702,5570842,5297026,5850875,6810935,6291727,7194656,7044933,7621550,VALUE ADDED AGRI
Arunachal Pradesh,8110,9952,9653,28057,25558,26020,26294,27570,26824,29830,42459,48162,46964,47055,50216,54521,50921,61179,77699,66351,64720,81498,248503,273221,287222,294674,258899,182046,185502,185995,184321,195018,NA,VALUE ADDED AGRI
Assam,130542,134350,135609,502168,509476,515814,512065,547705,519522,518891,1099809,1081827,1074631,1081493,1097985,1068008,1079329,1095104,1136129,1170680,1244862,1283447,1888760,2298656,2171636,2107447,2275122,2390436,2416994,2461170,2319352,2311155,NA,VALUE ADDED AGRI
Bihar,396613,329885,297062,994671,1170882,888068,1218402,957393,1142838,1031575,1432315,1988274,1522021,1953765,1570198,1862279,1571331,2104376,1878141,2329376,1908710,2304498,3905314,4367513,3290765,3073814,3063960,3385781,3653969,3383437,3133173,3401579,3806822,VALUE ADDED AGRI
Chandigarh,NA,NA,NA,3540,3464,3408,3330,3121,2990,3092,4877,4603,4679,4849,5158,6777,7015,6956,6945,7390,6309,6078,749,698,594,499,469,427,397,351,333,609,NA,VALUE ADDED AGRI
Chhattisgarh,NA,NA,NA,371819,385301,365181,372658,281681,314692,286665,558545,393524,604012,437328,668821,639982,761507,796216,891150,764903,833500,1061063,1646143,1759339,1802700,1852931,1778748,2244327,1775259,1996452,2036091,2106289,NA,VALUE ADDED AGRI
Delhi,15082,16130,18670,77063,41590,33257,30567,38918,48755,43283,73373,74722,73803,72902,73642,100577,97069,98118,94883,94014,121246,131161,62741,57427,51344,23598,17277,17229,15112,15313,16128,16233,15750,VALUE ADDED AGRI
Goa,6149,5862,7032,22562,22258,22208,23940,22509,26527,29899,53271,41294,38092,43738,45838,54534,69966,51897,56582,52983,53193,53082,93081,93645,100326,97303,93569,101136,100138,102020,90284,90297,NA,VALUE ADDED AGRI
Gujarat,268421,215766,336631,923093,1356926,1173231,1623723,1462715,1569861,1062800,1492000,1300500,1775400,1620100,2387800,2480300,3189600,3137200,3475000,3068300,2933900,3776921,7559820,5877481,8187059,7913255,7263047,7816676,8783375,7053050,8430152,8515957,NA,VALUE ADDED AGRI
Haryana,NA,NA,NA,820149,882100,837774,932884,847216,875438,916126,1540939,1589552,1581321,1556438,1679738,1984488,1934033,2226784,2205804,2367764,2311190,2418900,3765609,3508882,3533449,3185780,3229284,3632329,3735274,3827451,3814843,3888235,3800465,VALUE ADDED AGRI
Himachal Pradesh,38112,36377,36079,115477,114937,119921,121199,121318,125207,118558,260870,311254,339850,348090,394344,428494,447150,415366,463647,437662,337775,435994,506994,563076,673414,577750,660768,544259,470964,448943,591001,515342,584302,VALUE ADDED AGRI
Jammu and Kashmir,48744,49808,50314,173925,205412,206137,223777,214616,224557,236245,405788,405076,428234,436662,476778,546706,546232,554363,563038,576175,574435,627323,623142,548997,587352,361664,579600,561993,542308,610597,543201,498147,547772,VALUE ADDED AGRI
Jharkhand,NA,NA,NA,304872,344714,325648,346220,345234,350968,414176,472582,461634,636987,499675,509958,623367,641738,737297,776186,945866,846417,888157,1227605,1375517,1297247,1365336,987460,1304171,1399025,1084172,1198807,1275431,1614854,VALUE ADDED AGRI
Karnataka,303450,362588,375122,1283946,1263811,1290334,1343758,1302437,1481798,1634442,2728133,2508744,2179461,1986931,1687722,2440207,2722434,2609498,2999681,3027572,3137621,3657875,4807446,5041678,5511927,5069294,4228126,4303892,5734300,5085291,5873242,6683739,6662429,VALUE ADDED AGRI
Kerala,176135,181816,182606,625603,689697,694671,711466,677678,689962,701705,1046965,1072501,1082832,1107554,1081358,1365071,1437106,1278184,1264532,1368481,1298181,1163537,2156600,1927695,1810319,1710998,1444814,1513952,1545933,1390910,1282112,1353170,1417143,VALUE ADDED AGRI
Madhya Pradesh,478591,422322,462482,1356884,1321740,1360555,1438690,1466918,1472004,1576012,2154264,1514263,1897095,1494876,2130964,2543567,2750108,2818878,2742449,3014266,3302709,3266430,6889445,8916071,8687182,8768349,8357378,11145635,10840589,10591423,12054397,12637387,14002588,VALUE ADDED AGRI
Maharashtra,546770,430046,613367,1934320,1897260,1965957,2296525,1940640,2098108,2284519,3455054,3287801,3480299,3580625,3976855,3113563,3481647,4096642,4819301,3839824,3985673,5022122,9615252,9395541,11205250,9189037,8426242,10684082,10069645,9208647,9950825,12500449,NA,VALUE ADDED AGRI
Manipur,10405,10771,10631,35599,33879,34118,36686,38397,38168,40952,71438,74500,77728,74350,86882,86500,86878,85797,98061,111722,131442,99390,120337,140047,147174,155764,130841,119341,244531,243709,229064,215299,NA,VALUE ADDED AGRI
Meghalaya,8178,8244,6514,34100,34293,40072,42959,43686,45769,52968,70738,74217,76857,81545,82923,100246,108195,109776,108395,114123,114290,115038,145770,175360,177756,185992,189972,189646,191585,184203,176566,170752,176957,VALUE ADDED AGRI
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30697,27893,27802,28533,28039,32723,33363,34555,43222,53325,60133,72704,71321,68250,77727,82384,78197,81225,82746,90048,90554,93563,NA,VALUE ADDED AGRI
Nagaland,4411,4720,5139,26101,29539,26575,29772,37809,40053,45529,64987,88912,101550,115952,122627,152336,155308,156166,156430,168303,173773,189934,161408,189204,225448,236193,233195,235054,224332,202099,207913,201740,2805270,VALUE ADDED AGRI
Odisha,148966,175685,155935,617480,601593,616476,524795,639878,635601,569013,1074820,973191,1158025,902936,1167713,1367826,1415159,1433933,1508788,1528100,1676037,1703136,2323278,2907474,2599028,2869312,2156170,2706396,2076909,2265336,2759021,3066732,2790749,VALUE ADDED AGRI
Puducherry,1755,1957,1970,8048,9769,8726,7970,6603,8523,8947,14403,14837,14171,12901,13852,18728,20862,24707,25630,31769,22621,29104,11067,13206,12562,14972,8918,7799,7845,8923,8314,5040,6592,VALUE ADDED AGRI
Punjab,357434,384976,393586,1296166,1320684,1315927,1410550,1335392,1374348,1478024,2403771,2432032,2444268,2402597,2538984,2836785,2851257,2928165,3035466,3090688,3050648,3084677,4744202,4732731,4866514,4495122,4453609,4762161,4923199,4903357,4841581,4929824,4864073,VALUE ADDED AGRI
Rajasthan,385419,326101,394278,958726,1232239,1178896,1453346,1510368,1498528,1284072,2231943,2067024,2654733,1664084,3218851,2574105,2574063,2792005,2814926,2945982,2816365,4082864,6716402,6889645,7449123,7028062,6484582,6721387,6342695,6815623,7730748,7663860,7511411,VALUE ADDED AGRI
Sikkim,6112,6176,NA,12764,12745,13798,14290,14585,10889,11140,16152,17271,18541,19760,21386,24574,25785,26401,27979,30390,31567,33121,67799,70346,70980,71308,71548,81071,95637,108145,113933,111368,122515,VALUE ADDED AGRI
Tamil Nadu,271417,303474,310073,1235363,1385378,1187658,1171816,1290418,1416092,1330859,1906769,2006753,1942083,1460064,1421512,1946107,2178651,2529862,2392448,2308466,2457731,2634148,5031026,3849207,4644185,4813262,4554362,3030753,3998578,4102914,4500866,4821228,4968893,VALUE ADDED AGRI
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321148,1690777,1661313,1967877,2093541,1801356,2180633,2955435,3254793,3407312,2619091,2072273,2475874,2745368,2526884,4138282,4120809,3907576,VALUE ADDED AGRI
Tripura,17014,16465,15726,50889,46646,50780,55237,56560,61663,63792,125848,112013,139417,137905,145381,176851,180045,194777,233980,241813,234457,244360,307680,325726,355107,358415,354370,379442,409401,457178,458961,487206,516786,VALUE ADDED AGRI
Uttar Pradesh,957778,983121,960418,2835747,2936989,2988529,3272141,3064271,3079772,3370073,5567572,5579894,5641768,5618858,5833698,6455157,6590234,6720858,6922105,7169508,7043912,7311199,11143150,11675934,11244514,10434577,10955996,11697921,12092509,12653584,12574453,12865260,12994359,VALUE ADDED AGRI
Uttarakhand,NA,NA,NA,176344,186728,200641,201843,200031,204545,203448,306753,334955,311621,327277,344085,367537,347465,364494,367873,334526,382857,394715,654767,655489,597741,577197,509725,543819,542775,529012,543323,583847,601785,VALUE ADDED AGRI
West Bengal,392967,447696,449337,1455875,1591630,1612738,1718463,1885107,1797548,1852048,3437165,3389589,3729734,3620018,3736811,3853049,3918944,3950332,4188276,4020193,4354913,4228835,6939766,7211011,7039577,7523872,7450630,7625248,8017048,7981556,8015252,8474373,NA,VALUE ADDED AGRI
Andaman and Nicobar Islands,655,570,1405,3848,4639,4292,5638,5769,3455,3489,3071,2240,1816,1624,2855,1662,1312,1638,1933,1928,1883,1914,5052,5098,5300,3512,6277,7039,5907,5188,4472,NA,NA,VALUE ADDED MANU
Andhra Pradesh,222150,244569,223954,640032,731113,816595,883463,887453,929184,897130,1236821,1196538,1274154,1407512,1545980,1179075,1182516,1265458,1407931,1459416,1512635,1570943,3969153,3047249,2701406,3721730,4296778,4306091,4758527,5734353,5737488,5589675,6278911,VALUE ADDED MANU
Arunachal Pradesh,1397,1516,1648,2536,2661,3067,3855,2738,2916,2692,4692,5478,5137,5549,5193,7069,7846,8937,10229,10304,10594,11986,9934,11338,15161,60612,40163,45556,33763,45565,18257,20805,NA,VALUE ADDED MANU
Assam,22175,22262,20973,113446,120892,120619,119596,132620,116171,128711,227525,187847,219689,290943,333657,432430,393414,380355,336438,311303,420459,441218,1274688,1199593,1444523,1573198,2099360,2586928,2975480,2960301,3053259,3441009,NA,VALUE ADDED MANU
Bihar,162049,170648,132651,92695,83004,65688,65504,138701,35743,104359,315320,289057,261922,282311,266877,343745,317574,341116,447877,558894,512061,647125,1268069,789607,1691289,2376058,2127002,2696745,2821758,2733151,2825356,2625898,2656978,VALUE ADDED MANU
Chandigarh,NA,NA,NA,27987,29131,29528,32650,35820,36924,38085,34891,33515,29678,32206,33888,48974,45743,54862,63112,63837,78122,79253,91508,100609,115812,83713,85360,106213,92628,115051,110427,111007,NA,VALUE ADDED MANU
Chhattisgarh,NA,NA,NA,229964,215215,212117,229907,342647,335294,230845,272664,250290,232880,323838,421952,820238,585475,966800,1104456,1077915,883863,746023,2096873,2313479,3243314,2920843,2995128,2539959,3033179,3322079,3386965,3359533,NA,VALUE ADDED MANU
Delhi,110366,126025,119878,315472,412982,301508,287892,324621,351556,366864,530747,493591,487626,556621,499482,637193,693608,743295,832618,795121,815677,948456,1591119,1892053,1992032,1744814,2500209,2385360,2389423,2418847,2553994,2523527,3367405,VALUE ADDED MANU
Goa,17836,18664,22975,51613,43680,47572,59084,55236,84643,95942,142100,154795,161979,171908,186137,311027,338197,378847,391605,409095,440807,491829,1508357,1294246,922261,1610989,1884849,2044276,2091455,2165206,2113884,2070980,NA,VALUE ADDED MANU
Gujarat,312788,243549,399652,1110462,1370494,1486746,1701714,1509130,1621137,1752900,2448000,2094700,1983700,2416300,2788600,4026500,4682200,5247200,5689300,5836100,7770600,7832084,11184924,15040279,15300520,18575485,21471826,24042421,26668961,30242602,32533526,30812502,NA,VALUE ADDED MANU
Haryana,NA,NA,NA,358878,395694,428602,456259,484929,509391,522766,863343,915765,964085,1037799,1130079,1628205,1760801,1900776,2005638,2006816,2288912,2412586,4454729,5253032,5804855,6095452,7207708,8335398,8502460,9789245,10764341,10699755,11962326,VALUE ADDED MANU
Himachal Pradesh,11612,13863,13488,29952,42081,49401,61704,65680,67589,86513,123047,135019,135708,146007,153221,223392,226523,263049,238381,302210,404129,450328,1393182,1504007,1683199,1841069,2087832,2654515,2997939,3321035,3330267,3079101,3428610,VALUE ADDED MANU
Jammu and Kashmir,9728,9274,9291,47651,41396,41577,39842,40204,42882,45981,51407,47451,46576,48697,50570,125725,137675,154443,170053,200869,222405,235657,624272,580359,595588,609143,747146,742584,773073,742642,676616,653900,681501,VALUE ADDED MANU
Jharkhand,NA,NA,NA,292632,304677,343594,226371,518008,598336,525919,755000,366950,289119,568404,635821,1753023,1282914,1063280,1876328,1089666,1185519,1316060,2740497,3388295,3103621,3462673,2520129,3421197,3915907,4883648,4397578,4400738,4668728,VALUE ADDED MANU
Karnataka,164056,182571,182434,650282,722375,708299,772304,839228,1005987,836056,1043165,1021119,1116212,1407826,1447667,2340218,2343859,3078616,3210948,3597302,3212704,3424919,8343501,8778247,9081837,9019470,11302092,14887347,15068956,15665477,14938039,13884715,15007767,VALUE ADDED MANU
Kerala,79871,82442,89379,269832,325889,353751,340550,329021,350458,369687,555866,560539,522958,544990,570955,808608,824712,884335,1068208,1052421,1049507,1179223,3000616,3404420,3226609,3276047,4226212,5059920,5443664,5099028,4769834,4343519,4853673,VALUE ADDED MANU
Madhya Pradesh,176958,131426,163744,401938,475612,513125,533670,608972,624942,644879,759889,709283,674472,577004,573822,980186,1063482,1412105,1455130,1735244,1877148,1718146,2967896,2159834,2575161,2640189,3705230,4174515,4564435,6135417,5774530,5278433,5964432,VALUE ADDED MANU
Maharashtra,767462,753940,824267,2432825,2460477,2894795,2886675,3300917,3066589,3286897,4134307,3575203,3376631,3752790,4187123,6732816,8863496,10629224,11685445,10583382,11490101,13178600,20680409,22202071,25047869,26369106,29626776,32190589,32874649,33813362,33059881,28677463,NA,VALUE ADDED MANU
Manipur,1895,1868,1940,8437,8164,8570,9269,9448,10800,13061,17484,18664,17959,18659,19280,18894,20126,22950,27440,26146,27662,28559,32858,20586,32505,31471,43071,44922,43107,41394,36908,34175,NA,VALUE ADDED MANU
Meghalaya,1262,1418,1506,3365,4107,4234,4570,3875,3673,4248,5025,5217,5126,8352,9393,12852,23376,39036,42491,41127,46431,54040,426023,422228,338181,273050,109372,140501,182568,192467,228229,220436,268375,VALUE ADDED MANU
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1463,1494,1523,1444,1592,2632,2634,3162,3986,3690,3387,3652,4968,5253,5570,5702,8510,9172,8453,8987,10833,10181,NA,VALUE ADDED MANU
Nagaland,1908,1921,2205,3757,4531,8065,9813,9988,3448,1249,4570,4852,5516,6233,6634,8511,10474,12028,13918,11885,16841,13426,11153,13906,9537,11410,17876,21585,21739,24592,22273,21594,NA,VALUE ADDED MANU
Odisha,48692,58915,58257,116890,142691,161037,106817,100371,154557,198584,315025,282373,239841,287264,352792,626706,542399,717340,914377,1056856,546407,453036,3273608,3259701,3798066,3251093,3476764,4858979,6253089,7613990,6484401,6910001,8109681,VALUE ADDED MANU
Puducherry,6016,6293,6955,21637,20488,17126,49448,82280,86454,81161,103557,134136,155549,175034,188973,164649,256471,227917,225431,258145,325724,298228,368161,350079,480749,347223,423511,448006,499192,911737,779696,768429,788004,VALUE ADDED MANU
Punjab,122141,129574,141861,389805,408521,431257,449926,470252,505433,522815,824963,849502,784412,830768,861345,1207208,1314677,1644121,2004668,2050948,2349066,2572622,2940858,3092552,3257929,3493724,3751196,4123948,4385019,4581177,4599021,4593862,4903520,VALUE ADDED MANU
Rajasthan,95098,86730,93407,324001,445794,497134,452511,584287,562797,672889,801610,753740,690466,668593,687580,1269814,1420562,1798082,1817170,1976644,2286334,2062589,5689422,4316304,3799857,4379336,5751651,5914130,5977174,6800908,6571119,5927189,7335018,VALUE ADDED MANU
Sikkim,620,649,NA,2066,1973,2077,2181,2181,2192,2187,3156,3302,3332,3471,3707,6395,6530,7036,8106,8834,113699,161404,413380,411667,443382,499778,555850,627627,699150,733132,700889,673147,721600,VALUE ADDED MANU
Tamil Nadu,300278,270540,289695,1306985,1480559,1659715,1609290,1580596,1456116,1603259,2096612,2251575,1958293,2015139,2268295,3282383,3809594,4553305,4534777,4315213,5748374,6595277,12163483,13887693,12569147,12842743,16648495,19033037,21327739,23197149,22822351,22411766,24753967,VALUE ADDED MANU
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889427,999728,1284299,1226045,1546751,1518296,1954386,5292515,4362566,4350148,3985411,5492396,5594860,6102679,7207925,6999358,6768703,7500211,VALUE ADDED MANU
Tripura,1480,1928,1934,5289,4965,5159,5118,5170,2479,4878,9103,19517,14400,11929,14568,32893,21588,24021,26110,25732,28604,41068,62462,105242,96542,134735,98503,133964,116936,107009,119861,116256,128746,VALUE ADDED MANU
Uttar Pradesh,340431,332796,340919,923494,1082509,1102396,1340136,1227636,1014260,1112030,1738274,1641588,1597928,1722247,1773516,2738719,2845971,3468978,3681681,3334539,4048573,4438921,6919442,7392673,8552794,7465709,9434858,15447730,13401460,12410068,12654695,11935501,12712361,VALUE ADDED MANU
Uttarakhand,NA,NA,NA,73918,104888,66078,88354,70147,46651,42771,96728,139411,124955,171887,185778,249951,377311,444600,661087,739482,887618,1043830,3741191,4229589,4401140,4719555,5233268,5796529,6216712,6193203,5927148,5823514,5969770,VALUE ADDED MANU
West Bengal,255934,269074,273435,756153,789396,909340,952733,1021383,1076366,1170330,1070424,1122073,1163195,1293410,1336558,1774449,1710248,1962013,2227778,2175308,2353585,2594587,5780269,5876362,5943262,5274087,6729882,7883496,8778091,10462123,11060828,10209841,NA,VALUE ADDED MANU
Andaman and Nicobar Islands,504,573,584,5686,8734,8158,8358,10533,9091,12300,5879,5896,7585,11391,17929,40892,48979,71320,83896,66230,63000,69541,50758,53354,57509,60191,66193,74790,86009,79526,86299,NA,NA,VALUE ADDED CONC
Andhra Pradesh,60651,61437,61757,274181,313096,317859,318087,365960,382969,433574,685901,763119,824225,809245,872682,808122,978281,1077517,1217565,1353786,1375887,1279355,3531627,3371104,3475663,3749096,3741891,4070849,4050091,4212960,4226494,3988543,4439174,VALUE ADDED CONC
Arunachal Pradesh,4156,4307,4135,16444,14424,23718,15728,15463,15578,14186,21816,20965,47163,32902,37645,67305,71489,68356,81100,103720,84721,104888,99595,94748,103830,162745,135123,139080,161625,139205,151995,124343,NA,VALUE ADDED CONC
Assam,15221,15620,15531,66758,74452,68588,80598,77514,86208,60112,139149,170703,187425,190139,231022,328743,304000,315305,323734,497228,540030,546714,1131858,1116543,1263421,1349852,1420013,1624651,1734164,1689170,1908355,1772435,NA,VALUE ADDED CONC
Bihar,68444,69643,74138,73695,63996,71103,78456,84759,107259,146239,186437,187218,206936,247986,240368,490620,608073,755468,892175,1011471,1268501,1700452,2576408,2423545,2543684,2423766,2686624,2779940,2936682,3193017,3179579,2915195,3099646,VALUE ADDED CONC
Chandigarh,NA,NA,NA,9173,9526,10433,10964,13998,19661,17249,30393,35442,43557,59609,71784,74756,88534,130315,127972,70812,85849,76802,108498,99278,105674,106365,110702,114471,116933,126885,123802,111080,NA,VALUE ADDED CONC
Chhattisgarh,NA,NA,NA,61692,61194,72326,72553,73025,72998,98028,100183,93036,134338,135799,148429,314677,391698,549178,529410,566600,644778,730895,1811676,1690637,1652417,1656004,1503250,1697422,1809386,2029104,2250586,2270875,NA,VALUE ADDED CONC
Delhi,23219,22351,26006,136801,137476,149290,176921,226516,225740,176983,301366,425138,386055,465760,505615,937605,979480,1010820,1013581,1033444,1052423,895835,1588185,1541608,1567100,1499867,1508531,1689236,1910245,2109287,2016242,1869311,2378065,VALUE ADDED CONC
Goa,2419,2279,2866,10083,12111,10824,14068,14679,19012,19204,34226,34721,35215,36194,37549,126206,130419,142635,151012,159228,170091,219736,129494,122273,133901,130666,169940,155240,171443,166749,162788,150094,NA,VALUE ADDED CONC
Gujarat,43180,63602,50530,213642,208914,228090,228774,282876,308542,412800,617100,540700,459000,605400,778100,1251700,1339500,1445000,1974400,2314800,2346700,2478629,4258325,4375741,4698480,4835549,4817045,4791595,4980819,5696399,5644415,5232373,NA,VALUE ADDED CONC
Haryana,NA,NA,NA,147925,158048,164300,161822,170119,184311,193423,334752,337701,423634,475569,554713,883706,961275,1057120,1074592,1120399,1258109,1267657,2839051,2612669,2864570,2815256,2758254,2921831,3103563,3361544,3318952,3130360,3465308,VALUE ADDED CONC
Himachal Pradesh,11660,11481,13931,63867,68166,76475,80335,81497,89064,93589,260958,263088,285386,308044,314558,448350,503518,565018,619080,607451,610029,591482,608088,642777,678835,723387,712963,769183,800153,822374,821828,720711,816840,VALUE ADDED CONC
Jammu and Kashmir,10894,11255,11616,71239,76305,80989,82526,87495,87368,67695,156957,145545,159667,175396,185121,428412,463245,499458,523060,507451,503886,462870,623414,606430,662094,627013,641945,726320,752949,748043,775069,690112,789054,VALUE ADDED CONC
Jharkhand,NA,NA,NA,74752,66997,80363,90000,101954,110622,77816,211631,205224,249093,211067,259090,347832,399335,454016,470036,513216,563168,661919,1371583,1271097,1387201,1394971,1418993,1488897,1563035,1661118,1666342,1505780,1542870,VALUE ADDED CONC
Karnataka,39444,44362,44402,199081,189763,229626,262124,322112,386660,435061,686091,703731,769183,815265,814971,1363573,1607483,1786769,2093201,2035086,2036144,2411083,4801598,4516224,5042357,5065440,5210481,5203669,5387818,5787465,5598552,5259213,5727178,VALUE ADDED CONC
Kerala,40270,40811,43931,197049,199786,199276,204232,227233,252240,219186,636907,622145,693577,783591,897148,1392541,1604687,1712403,1746480,1788250,1953869,2280939,5058202,4873178,5295563,5434182,5424132,5828664,5993034,6387080,6292638,5643983,5932252,VALUE ADDED CONC
Madhya Pradesh,31496,31553,29278,183164,190430,199891,208430,212505,258423,506443,451606,477129,480122,522998,564824,895856,970986,969614,1160945,1476173,1534063,1733285,3333178,3076454,3287065,3343275,3362383,3457073,3702203,4245820,3969204,3608567,3937228,VALUE ADDED CONC
Maharashtra,142890,148030,153354,532175,536224,533713,582655,639456,700367,649804,1291990,1134730,1262882,1262050,1374345,2512468,2672784,2898759,3634358,3956050,4150401,4738763,7684092,7339588,7492869,8129253,8291159,8690179,8800999,9051102,8592775,7644918,NA,VALUE ADDED CONC
Manipur,2566,2899,3202,8343,9097,11708,14927,15576,14234,18254,38170,29495,35651,41653,56556,140754,150792,152487,152716,156398,161186,119316,95958,93671,104639,162372,187366,156016,164880,98007,148006,155745,NA,VALUE ADDED CONC
Meghalaya,2572,2795,2924,9885,9351,11204,12680,15997,18172,18754,32377,38965,39356,40971,43286,70342,72175,73869,74685,128123,127021,127094,108427,91971,93689,97715,116244,103489,113287,110729,100009,88705,86587,VALUE ADDED CONC
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14805,15349,19047,21511,24514,27780,39083,38607,42419,54569,56255,56295,85140,77185,93763,100755,114111,124562,172035,153204,132246,137628,NA,VALUE ADDED CONC
Nagaland,5284,5284,8758,10136,11203,15451,16628,21462,17630,16589,27148,31091,37203,43596,45010,54514,64392,74211,81107,95772,96309,77654,99948,99652,74726,88565,98993,104259,122973,111520,106002,87622,NA,VALUE ADDED CONC
Odisha,27777,22835,23281,107096,114100,111478,104630,119256,111636,137876,266408,252728,236799,239480,219412,780034,800980,917983,998243,1002774,1041456,1190543,1963596,1906551,2012619,2008004,2015148,2148082,2317010,2393553,2368334,2079572,2250442,VALUE ADDED CONC
Puducherry,9341,6700,2800,4685,4853,4804,4893,4943,5449,5624,18492,18805,19128,19358,19598,71914,75985,79694,84587,88438,88041,88982,232607,207325,247738,213530,214596,231049,272350,286385,316450,318821,333637,VALUE ADDED CONC
Punjab,28662,24609,28583,121370,122207,146966,134129,184560,227928,179704,286176,328194,357101,328164,382925,604167,694584,832825,901074,971708,1010774,1020516,1885045,1838752,1868970,1899471,1944607,1984357,2065523,2211507,2262983,2264861,2435599,VALUE ADDED CONC
Rajasthan,53837,54165,59598,283963,317020,331089,367890,429448,421407,490971,699805,651575,735868,796667,1000850,1491553,1658605,1852866,1866625,1856354,1848321,2028305,4153426,4040715,4203970,4261931,4185490,4287400,4369020,4546804,4688280,4545807,4903751,VALUE ADDED CONC
Sikkim,1852,2002,NA,4950,5057,6036,6598,6750,6742,7541,9087,10290,13156,15662,17745,32149,36366,37671,38844,37217,40902,42026,63928,59719,62269,62168,67137,59976,63968,65311,72732,61546,63694,VALUE ADDED CONC
Tamil Nadu,85702,83099,85828,286403,323771,324452,344938,414832,467183,533945,915572,946259,956959,1049554,1123367,1876913,2180007,2266987,2674364,2804591,2936473,3585359,8815014,8783324,9377658,9472626,9977262,10555117,10889420,11434974,11743272,11626143,12462632,VALUE ADDED CONC
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652050,789348,869418,982418,1092332,1110164,1032277,2172794,2197135,1997696,2183335,2246247,2271511,2592049,2675569,2499698,2416956,2436018,VALUE ADDED CONC
Tripura,2134,2400,2239,10881,14784,15903,18312,23110,29236,31802,42121,68763,85059,94959,117744,135964,168428,191208,187852,205057,225202,220387,142979,144549,156328,126086,153713,190569,195452,247156,186642,184907,192309,VALUE ADDED CONC
Uttar Pradesh,79102,76887,76743,322086,322897,373340,388382,454793,515916,543608,821313,903256,904944,958245,1062170,1825000,2159886,2271166,2434720,2875106,2862826,2984329,8090539,8133292,8097091,8618317,9096263,9624319,9920724,10912927,11208664,10026634,10463631,VALUE ADDED CONC
Uttarakhand,NA,NA,NA,37892,37358,44901,45449,52977,65182,61820,91221,116561,148726,169559,172202,301753,330611,382228,351092,332343,365640,408766,841393,802818,1004970,1024113,1019679,1130722,1158719,1245750,1211204,1086147,1204916,VALUE ADDED CONC
West Bengal,127380,134280,142035,222808,234181,247958,262031,270228,291391,321463,642153,669954,728501,776586,938763,1427273,1579503,1680065,1713542,1565166,1702648,1806259,4233191,4359136,4746256,4720111,4235753,5409242,5592284,5895912,6476500,7098790,NA,VALUE ADDED CONC
Andaman and Nicobar Islands,431,346,1752,9080,12594,12121,14310,16031,10207,12827,9932,9296,10438,14013,21841,45034,54383,76512,89040,73241,71438,76099,61418,66936,71290,83149,99264,108419,121566,111491,121328,NA,NA,VALUE ADDED INDUSTRY
